date,capture,total_obs_day,perturbation,experiment,focal_bird,dompattern_focal,bin
5/16/2022,na,118,7,introduction,stranger,stranger,28
5/17/2022,na,119,7,introduction,stranger,stranger,28
5/18/2022,na,120,7,na,na,na,na
5/19/2022,na,121,7,introduction,stranger,stranger,29
5/20/2022,na,122,7,introduction,stranger,stranger,29
5/21/2022,na,123,7,introduction,stranger,stranger,29
5/22/2022,na,124,7,introduction,stranger,stranger,29
5/23/2022,na,125,7,na,na,na,na
5/24/2022,na,126,7,introduction,stranger,stranger,30
5/25/2022,na,127,7,introduction,stranger,stranger,30
5/26/2022,na,128,7,introduction,stranger,stranger,30
5/27/2022,na,129,7,introduction,stranger,stranger,30
