"bin","id","dom_ec","between","rank","power"
1,"BBO",0.0212315558262925,0,1,0.978768444173707
1,"GGG",0.0222113936490077,0,2,0.977788606350992
1,"GPG",0.0447339043951075,7.5,3,0.955266095604893
1,"GOP",0.0504864751261769,14.6666666666667,4,0.949513524873823
1,"PBP",0.0561911888036476,5.16666666666667,5,0.943808811196352
1,"GOO",0.0602670675228768,17.8333333333333,6,0.939732932477123
1,"PPP",0.0607088969289182,12,7,0.939291103071082
1,"OBB",0.0934347597606586,31,8,0.906565240239341
1,"OOP",0.169286196565988,19.3333333333333,9,0.830713803434012
1,"POO",0.198108540061069,14,10,0.801891459938931
1,"OGO",0.223340021360257,2.5,11,0.776659978639743
2,"BBO",0.0305187636376131,0,1,0.969481236362387
2,"GGG",0.0308824526179087,2.5,2,0.969117547382091
2,"GPG",0.0457562652354972,7,3,0.954243734764503
2,"GOP",0.0665832931395156,3,4,0.933416706860484
2,"PPP",0.0740082985772941,8,5,0.925991701422706
2,"GOO",0.0771538546433453,31,6,0.922846145356655
2,"PBP",0.0866358131064243,0,7,0.913364186893576
2,"OBB",0.0896787836506735,4,8,0.910321216349327
2,"OGO",0.127311092357658,0,9,0.872688907642342
2,"POO",0.131789032318135,17.5,10,0.868210967681865
2,"OOP",0.239682350715935,33,11,0.760317649284065
3,"BBO",0.0267694165074976,0,1,0.973230583492502
3,"OBB",0.0510290827591137,19.6666666666667,2,0.948970917240886
3,"GOP",0.0690899646965279,8,3,0.930910035303472
3,"OGO",0.0700165997261299,16,4,0.92998340027387
3,"POO",0.0712653837297132,11.6666666666667,5,0.928734616270287
3,"PBP",0.0898227697606224,5.33333333333333,6,0.910177230239378
3,"GOO",0.0916052881925236,12.5,7,0.908394711807476
3,"GGG",0.103365597049541,27.6666666666667,8,0.896634402950459
3,"GPG",0.114788613538939,5,9,0.885211386461061
3,"PPP",0.135882657885603,1.83333333333333,10,0.864117342114397
3,"OOP",0.176364626153789,0,11,0.823635373846211
4,"GPG",0.0353301322602876,0,1,0.964669867739712
4,"GOO",0.0365394601599636,3.5,2,0.963460539840036
4,"GOP",0.0473977210393207,6,3,0.952602278960679
4,"GGG",0.0611699882901784,12,4,0.938830011709822
4,"OBB",0.0668866321505154,26.5,5,0.933113367849485
4,"PPP",0.0704958747171657,9,6,0.929504125282834
4,"POO",0.0769439146333506,18,7,0.923056085366649
4,"OGO",0.0792041411016684,10.5,8,0.920795858898332
4,"PBP",0.218294016903912,32,9,0.781705983096088
4,"OOP",0.307738118743637,13,10,0.692261881256363
5,"GPG",0.00777076771892484,0,1,0.992229232281075
5,"GOO",0.00808814624411079,11,2,0.991911853755889
5,"GGG",0.0102158185103104,7,3,0.98978418148969
5,"GOP",0.0124129483667389,0,4,0.987587051633261
5,"OBB",0.0164408202614821,24.3333333333333,5,0.983559179738518
5,"POO",0.0208728996389403,35.8333333333333,6,0.97912710036106
5,"OGO",0.0302025952137244,18.8333333333333,7,0.969797404786276
5,"PPP",0.0324020028206695,11.6666666666667,8,0.96759799717933
5,"BBO",0.216511973127612,0,9,0.783488026872388
5,"OOP",0.256821635883444,2,10,0.743178364116556
5,"PBP",0.388260392214042,0,11,0.611739607785958
6,"GGG",0.013916838769931,0,1,0.986083161230069
6,"GPG",0.0158044878570478,10,2,0.984195512142952
6,"GOO",0.0165942197725149,39.3333333333333,3,0.983405780227485
6,"GOP",0.0191628039584466,0,4,0.980837196041553
6,"OBB",0.0289262363785336,6.83333333333333,5,0.971073763621466
6,"PPP",0.0336037421704886,2,6,0.966396257829511
6,"POO",0.0349637160334339,12.6666666666667,7,0.965036283966566
6,"OGO",0.0466365659111223,40,8,0.953363434088878
6,"OOP",0.199614672154704,4,9,0.800385327845296
6,"BBO",0.236196636854218,10,10,0.763803363145782
6,"PBP",0.354580080139559,13,11,0.645419919860441
7,"GPG",0.0119989339033383,0,1,0.988001066096662
7,"GOO",0.0153491181857294,11.5,2,0.984650881814271
7,"GGG",0.0186255815158601,10,3,0.98137441848414
7,"GOP",0.0195037017070382,1.5,4,0.980496298292962
7,"PPP",0.0462538886404227,3,5,0.953746111359577
7,"OGO",0.102758054166792,14.5,6,0.897241945833208
7,"POO",0.123455109502512,8.33333333333333,7,0.876544890497488
7,"OOP",0.159988592000932,12.6666666666667,8,0.840011407999068
7,"BBO",0.245994634563975,6,9,0.754005365436025
7,"PBP",0.2560723858134,11.5,10,0.7439276141866
8,"GOO",0.0311451097296836,8,1,0.968854890270316
8,"GGG",0.0466182904114735,0,2,0.953381709588527
8,"GPG",0.0477449283102005,8,3,0.9522550716898
8,"GOP",0.0580924725692045,0,4,0.941907527430796
8,"PPP",0.0711958826436914,13.5,5,0.928804117356309
8,"OOP",0.120233978785896,4,6,0.879766021214104
8,"PBP",0.130704134847696,32.5,7,0.869295865152304
8,"OGO",0.154546344650054,18,8,0.845453655349946
8,"BBO",0.168020430342715,0,9,0.831979569657285
8,"POO",0.171698427709386,17,10,0.828301572290614
9,"GOO",0.0320793980629665,0,1,0.967920601937033
9,"GPG",0.0327292830328006,0,2,0.967270716967199
9,"GGG",0.0383823999047886,10,3,0.961617600095211
9,"GOP",0.0501358091198028,7,4,0.949864190880197
9,"PPP",0.0671037617903363,17,5,0.932896238209664
9,"PBP",0.0754039103372447,24,6,0.924596089662755
9,"OOP",0.0843390432448836,7,7,0.915660956755116
9,"OBB",0.114937958094447,0,8,0.885062041905553
9,"BBO",0.12038855951994,6,9,0.87961144048006
9,"POO",0.19064950809305,9,10,0.80935049190695
9,"OGO",0.19385036879974,18,11,0.80614963120026
10,"GOO",0.0354532132571237,8,1,0.964546786742876
10,"GPG",0.0375253720064313,18,2,0.962474627993569
10,"GOP",0.0457065169279243,0,3,0.954293483072076
10,"GGG",0.0491349127768644,10,4,0.950865087223136
10,"PPP",0.0507258442443392,1.58333333333333,5,0.949274155755661
10,"PBP",0.084602348609752,0,6,0.915397651390248
10,"OOP",0.0991560229855827,21.4166666666667,7,0.900843977014417
10,"OBB",0.10558960409584,40.4166666666667,8,0.89441039590416
10,"BBO",0.138451133849552,35.5,9,0.861548866150448
10,"OGO",0.174358696454883,0,10,0.825641303545117
10,"POO",0.179296334791707,21.5,11,0.820703665208293
11,"GOO",0.0351439852548153,0,1,0.964856014745185
11,"GOP",0.0478885015124299,0,2,0.95211149848757
11,"GGG",0.0498159301014065,16.5,3,0.950184069898593
11,"GPG",0.0544528302692248,4,4,0.945547169730775
11,"OOP",0.0843054520482796,0,5,0.91569454795172
