"bin","id","dom_ec","between","rank","power"
1,"PBO",0.0288105140018265,3.5,1,0.971189485998173
1,"OPO",0.0290686282170287,31.5,2,0.970931371782971
1,"GPO",0.0355895013170441,1,3,0.964410498682956
1,"BOB",0.0427353219950449,14,4,0.957264678004955
1,"POP",0.0532621514423808,2.5,5,0.946737848557619
1,"PGG",0.0929521960746114,12,6,0.907047803925389
1,"BBB",0.106593542224269,23.5,7,0.893406457775731
1,"OOO",0.108396214984967,2,8,0.891603785015033
1,"GGP",0.109442246937205,9.5,9,0.890557753062795
1,"PPO",0.164165527872274,28.5,10,0.835834472127726
1,"OPP",0.228984154933349,0,11,0.771015845066651
2,"PBO",0.0315049123176133,0,1,0.968495087682387
2,"OPO",0.031660803105981,18,2,0.968339196894019
2,"GPO",0.0373378657786182,24.5,3,0.962662134221382
2,"BOB",0.0397662846750496,30.5,4,0.96023371532495
2,"BBB",0.0620938954310968,11,5,0.937906104568903
2,"OOO",0.065896896703127,0,6,0.934103103296873
2,"PGG",0.0734064276729094,10.5,7,0.926593572327091
2,"POP",0.115559061586341,36.5,8,0.884440938413659
2,"GGP",0.12317867357883,17,9,0.87682132642117
2,"PPO",0.173834114828514,6.5,10,0.826165885171486
2,"OPP",0.24576106432192,24,11,0.75423893567808
3,"BOB",0.0396947863649227,0,1,0.960305213635077
3,"GPO",0.0397002088462837,7,2,0.960299791153716
3,"BBB",0.0475423026209874,0,3,0.952457697379013
3,"POP",0.0547201340421426,0,4,0.945279865957857
3,"PGG",0.0863319244070331,8,5,0.913668075592967
3,"OOO",0.0890818158101064,2,6,0.910918184189894
3,"GGP",0.10956912232173,12,7,0.89043087767827
3,"OPO",0.111668692982355,3,8,0.888331307017645
3,"PPO",0.149133143325666,9,9,0.850866856674334
3,"OPP",0.272557869278774,0,10,0.727442130721226
4,"GPO",0.0361301628821971,0,1,0.963869837117803
4,"BOB",0.0362574511968841,0,2,0.963742548803116
4,"BBB",0.0518873193212969,2,3,0.948112680678703
4,"POP",0.0633439214449922,7,4,0.936656078555008
4,"PGG",0.0885611552470774,0,5,0.911438844752923
4,"OPO",0.0939029364842878,3,6,0.906097063515712
4,"PPO",0.096342009525926,2,7,0.903657990474074
4,"OOO",0.109408525892462,23,8,0.890591474107538
4,"GGP",0.163686150540622,17,9,0.836313849459378
4,"OPP",0.260480367464255,29,10,0.739519632535745
5,"BOB",0.0303034122622831,0,1,0.969696587737717
5,"GPO",0.0324430270527467,21.8333333333333,2,0.967556972947253
5,"POP",0.0328757735338185,18,3,0.967124226466181
5,"BBB",0.0337171144285169,20.6666666666667,4,0.966282885571483
5,"OOO",0.0796488513980809,0,5,0.920351148601919
5,"OPO",0.0842032874114945,3.5,6,0.915796712588506
5,"GGP",0.101419777299821,0.333333333333333,7,0.898580222700179
5,"PBO",0.109763373797597,29.6666666666667,8,0.890236626202403
5,"PPO",0.113964192463135,27.6666666666667,9,0.886035807536865
5,"PGG",0.138773260696854,13.8333333333333,10,0.861226739303146
5,"OPP",0.242887929655653,1.5,11,0.757112070344347
6,"GPO",0.0235227290904352,10,1,0.976477270909565
6,"BOB",0.0236677729997823,2,2,0.976332227000218
6,"BBB",0.0299586583453795,22,3,0.970041341654621
6,"POP",0.0362885572235885,13.5,4,0.963711442776412
6,"OOO",0.0772760748818837,0,5,0.922723925118116
6,"PGG",0.0773051411883495,14,6,0.922694858811651
6,"OPO",0.081625845600672,30,7,0.918374154399328
6,"GGP",0.107092203419952,29,8,0.892907796580048
6,"PBO",0.137620199281663,32,9,0.862379800718337
6,"PPO",0.17145081884764,0,10,0.82854918115236
6,"OPP",0.234191999120654,7.5,11,0.765808000879346
7,"BOB",0.0368068203029815,0,1,0.963193179697018
7,"GPO",0.0370772473522057,8,2,0.962922752647794
7,"POP",0.0519499936759369,3,3,0.948050006324063
7,"BBB",0.0556022382110447,14,4,0.944397761788955
7,"PBO",0.0756681116578307,0,5,0.924331888342169
7,"OPO",0.0799556403262139,0,6,0.920044359673786
7,"PGG",0.109077141951505,8,7,0.890922858048495
7,"PPO",0.119785748733572,20,8,0.880214251266428
7,"GGP",0.139206728893105,54.5,9,0.860793271106895
7,"OPP",0.294870328895604,20.5,10,0.705129671104396
8,"BOB",0.0447096172261051,0,1,0.955290382773895
8,"GPO",0.0448282791555041,7,2,0.955171720844496
8,"BBB",0.0598624027467335,10,3,0.940137597253267
8,"POP",0.0601118929895749,1,4,0.939888107010425
8,"PBO",0.0784698586669921,12,5,0.921530141333008
8,"OPO",0.0871988678964107,0,6,0.912801132103589
8,"PGG",0.100923918664029,14,7,0.899076081335971
8,"GGP",0.118388907641423,4,8,0.881611092358577
8,"PPO",0.132164829266177,23,9,0.867835170733823
8,"OPP",0.273341425747051,0,10,0.726658574252949
9,"GPO",0.0284568014504885,34,1,0.971543198549512
9,"BOB",0.0303959880172319,0,2,0.969604011982768
9,"POP",0.0363204435907506,2.5,3,0.963679556409249
9,"PBO",0.0443909402148546,7,4,0.955609059785145
9,"BBB",0.0483186812176658,12,5,0.951681318782334
9,"OPO",0.080650189570804,4,6,0.919349810429196
9,"PGG",0.0930357830146891,9,7,0.906964216985311
9,"PPO",0.118464922641,0,8,0.881535077358999
