"actor","subject","actor_2","subject_2","rule_type","rule_time","date_period","Group"
"GOP","POO","POO","GOP","Retaliation",184,"2022-01-26 1","3"
"POO","OGO","OGO","POO","Retaliation",46,"2022-01-26 2","3"
"OGO","POO","POO","OGO","Retaliation",151,"2022-01-27 2","3"
"POO","OGO","OGO","POO","Retaliation",215,"2022-01-27 2","3"
"PPP","OGO","OGO","PPP","Retaliation",1273,"2022-01-28 1","3"
"GOP","POO","OGO","POO","Pile-on",3,"2022-01-26 1","3"
"GGG","OOP","BBO","OOP","Pile-on",2,"2022-01-26 1","3"
"GOO","PBP","GPG","PBP","Pile-on",4,"2022-01-26 1","3"
"BBO","GOO","GGG","GOO","Pile-on",4,"2022-01-26 1","3"
"BBO","OOP","GGG","OOP","Pile-on",8,"2022-01-26 1","3"
"GGG","OOP","PBP","OOP","Pile-on",13,"2022-01-26 1","3"
"BBO","OOP","GGG","OOP","Pile-on",3,"2022-01-26 1","3"
"BBO","GOO","GGG","GOO","Pile-on",17,"2022-01-26 1","3"
"BBO","GOO","GGG","GOO","Pile-on",60,"2022-01-26 1","3"
"BBO","GOO","GGG","GOO","Pile-on",9,"2022-01-26 1","3"
"GGG","GPG","BBO","GPG","Pile-on",19,"2022-01-26 1","3"
"GGG","GPG","BBO","GPG","Pile-on",4,"2022-01-26 1","3"
"BBO","GOO","GGG","GOO","Pile-on",2,"2022-01-26 1","3"
"GGG","GOO","BBO","GOO","Pile-on",51,"2022-01-26 1","3"
"GGG","GPG","BBO","GPG","Pile-on",10,"2022-01-26 1","3"
"GGG","GOO","BBO","GOO","Pile-on",25,"2022-01-26 1","3"
"BBO","GPG","GGG","GPG","Pile-on",4,"2022-01-26 1","3"
"GPG","PBP","GOO","PBP","Pile-on",3,"2022-01-26 1","3"
"BBO","GPG","GGG","GPG","Pile-on",2,"2022-01-26 1","3"
"GGG","GOO","BBO","GOO","Pile-on",45,"2022-01-26 1","3"
"GGG","GPG","BBO","GPG","Pile-on",26,"2022-01-26 1","3"
"GPG","PBP","GOO","PBP","Pile-on",111,"2022-01-26 1","3"
"GOP","OGO","BBO","OGO","Pile-on",12,"2022-01-26 1","3"
"GGG","GPG","BBO","GPG","Pile-on",14,"2022-01-26 1","3"
"GGG","GPG","BBO","GPG","Pile-on",116,"2022-01-26 1","3"
"GGG","GOO","BBO","GOO","Pile-on",45,"2022-01-26 1","3"
"BBO","GPG","GGG","GPG","Pile-on",5,"2022-01-26 1","3"
"GGG","GOO","BBO","GOO","Pile-on",7,"2022-01-26 1","3"
"BBO","GOO","GGG","GOO","Pile-on",9,"2022-01-26 1","3"
"GGG","GPG","BBO","GPG","Pile-on",193,"2022-01-26 1","3"
"BBO","GOP","GPG","GOP","Pile-on",10,"2022-01-26 1","3"
"GPG","PBP","GGG","PBP","Pile-on",60,"2022-01-26 1","3"
"GOO","PBP","GPG","PBP","Pile-on",7,"2022-01-26 1","3"
"GGG","GPG","BBO","GPG","Pile-on",2,"2022-01-26 1","3"
"PBP","OOP","GOO","OOP","Pile-on",61,"2022-01-26 1","3"
"GOO","OOP","PBP","OOP","Pile-on",3,"2022-01-26 1","3"
"GOO","PBP","GPG","PBP","Pile-on",62,"2022-01-26 1","3"
"PBP","OOP","GPG","OOP","Pile-on",7,"2022-01-26 1","3"
"BBO","PPP","GPG","PPP","Pile-on",4,"2022-01-26 1","3"
"PBP","OGO","BBO","OGO","Pile-on",23,"2022-01-26 1","3"
"GOP","PPP","BBO","PPP","Pile-on",57,"2022-01-26 1","3"
"GOO","OGO","GGG","OGO","Pile-on",2,"2022-01-26 2","3"
"GOP","OGO","PPP","OGO","Pile-on",67,"2022-01-26 2","3"
"GOO","GOP","BBO","GOP","Pile-on",66,"2022-01-26 2","3"
"GGG","PPP","BBO","PPP","Pile-on",9,"2022-01-26 2","3"
"GOP","PPP","BBO","PPP","Pile-on",2,"2022-01-26 2","3"
"PPP","OGO","BBO","OGO","Pile-on",8,"2022-01-26 2","3"
"PPP","OGO","GOP","OGO","Pile-on",25,"2022-01-26 2","3"
"GOP","OGO","PBP","OGO","Pile-on",2,"2022-01-26 2","3"
"PBP","OGO","PPP","OGO","Pile-on",77,"2022-01-26 2","3"
"GGG","GPG","BBO","GPG","Pile-on",145,"2022-01-26 2","3"
"PBP","OOP","GGG","OOP","Pile-on",112,"2022-01-26 2","3"
"GGG","OOP","BBO","OOP","Pile-on",30,"2022-01-26 2","3"
"PBP","OBB","GPG","OBB","Pile-on",9,"2022-01-26 2","3"
