"actor","subject","actor_2","subject_2","rule_type","rule_time","date_period","Group"
"PPP","OBB","GOP","OBB","Pile-on",5,"2021-05-16 1","1"
"BBB","PGG","GPG","PGG","Pile-on",2,"2021-05-16 1","1"
"GPG","PGG","BBB","PGG","Pile-on",5,"2021-05-16 1","1"
"BBB","PGG","OPP","PGG","Pile-on",165,"2021-05-16 1","1"
"POO","BOB","BBB","BOB","Pile-on",12,"2021-05-16 1","1"
"GOO","PGG","OBB","PGG","Pile-on",11,"2021-05-16 1","1"
"GPG","BOB","GGO","BOB","Pile-on",4,"2021-05-16 1","1"
"GGO","BOB","POP","BOB","Pile-on",19,"2021-05-16 1","1"
"BOB","PPP","GOO","PPP","Pile-on",1,"2021-05-16 1","1"
"POP","BOB","GOP","BOB","Pile-on",3,"2021-05-16 1","1"
"GOP","BOB","BBB","BOB","Pile-on",59,"2021-05-16 1","1"
"POP","PPO","BBB","PPO","Pile-on",2,"2021-05-16 1","1"
"GPG","BOB","GOP","BOB","Pile-on",246,"2021-05-16 1","1"
"GOP","BOB","PPP","BOB","Pile-on",2,"2021-05-16 1","1"
"PPP","BOB","GOP","BOB","Pile-on",1,"2021-05-16 1","1"
"POP","BOB","GPG","BOB","Pile-on",9,"2021-05-16 1","1"
"BBB","OPP","POO","OPP","Pile-on",74,"2021-05-16 1","1"
"BOB","PBB","OPP","PBB","Pile-on",2,"2021-05-16 1","1"
"OPP","PBB","BOB","PBB","Pile-on",2,"2021-05-16 1","1"
"OOO","PPO","OOP","PPO","Pile-on",15,"2021-05-16 1","1"
"BOB","OOO","OPP","OOO","Pile-on",102,"2021-05-16 1","1"
"POO","BOB","OGO","BOB","Pile-on",22,"2021-05-16 2","1"
"OGO","BOB","BBB","BOB","Pile-on",1541,"2021-05-16 2","1"
"POP","POO","GPG","POO","Pile-on",239,"2021-05-16 2","1"
"GOP","OOP","BBB","OOP","Pile-on",5,"2021-05-16 2","1"
"PBB","PPO","BBB","PPO","Pile-on",20,"2021-05-16 2","1"
"POP","OBB","BBB","OBB","Pile-on",1,"2021-05-16 2","1"
"BBB","OBB","POP","OBB","Pile-on",2,"2021-05-16 2","1"
"POP","OBB","BBB","OBB","Pile-on",2,"2021-05-16 2","1"
"GPG","OGO","OOP","OGO","Pile-on",15,"2021-05-16 2","1"
"GOP","BOB","GPG","BOB","Pile-on",179,"2021-05-16 2","1"
"GOP","PGG","BBB","PGG","Pile-on",277,"2021-05-16 2","1"
"BBB","PGG","GOP","PGG","Pile-on",811,"2021-05-16 2","1"
"GOP","PGG","PBB","PGG","Pile-on",117,"2021-05-16 2","1"
"POP","OOO","OGO","OOO","Pile-on",4,"2021-05-16 2","1"
"GPG","PPO","GGO","PPO","Pile-on",12,"2021-05-16 2","1"
"GGO","PPO","GPG","PPO","Pile-on",145,"2021-05-16 2","1"
"POO","BOB","POP","BOB","Pile-on",56,"2021-05-16 2","1"
"OGO","OOO","BBB","OOO","Pile-on",49,"2021-05-16 2","1"
"BBB","OOO","BOB","OOO","Pile-on",134,"2021-05-16 2","1"
"BBB","OGO","PPP","OGO","Pile-on",7,"2021-05-16 2","1"
"BBB","GOP","POP","GOP","Pile-on",74,"2021-05-16 2","1"
"POP","OPP","BBB","OPP","Pile-on",1,"2021-05-16 2","1"
"BOB","PBB","BBB","PBB","Pile-on",2,"2021-05-16 2","1"
"BBB","PBB","POP","PBB","Pile-on",1,"2021-05-16 2","1"
